"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","G10024","G19888",0,0.091812305049191,0.601635513784445,0,0.306552181166364
"CbMPDiCbraya","G10024","G19889",0.0877048043059487,0.0325401640953361,0.502276148166116,7.0028186007758e-05,0.377408855246591
"CbMPDiCbraya","G10024","G19891",0.0204217396761642,0.152898803927293,0.441841987118072,0,0.384837469278471
"CbMPDiCbraya","G10024","G19892",0.0204217396761642,0.178901098852013,0.344218710155222,0.000343508109350036,0.456114943207251
"CbMPDiCbraya","G10024","G19893",0.0423152308004245,0.0640269817437285,0.48318608676783,4.47516284620357e-05,0.410426949059555
"CbMPDiCbraya","G10024","G19895",0.0204217396761642,0.09521130468195,0.466014169365494,7.88334487210773e-05,0.418273952827671
"CbMPDiCbraya","G10024","G19896",0.0204217396761642,0.126471031612925,0.472614467876171,0,0.38049276083474
"CbMPDiCbraya","G10024","G19897",0.0204217396761642,0.0530866814521616,0.5347461053948,1.21916280090462e-05,0.391733281848865
"CbMPDiCbraya","G10024","G22309",0,0.0761660762111608,0.31439403840967,0,0.609439885379169
"CbMPDiCbraya","G10024","G23419",0.0204217396761642,0.060329993019598,0.471866433315605,0,0.447381833988633
"CbMPDiCbraya","G10024","G23419A",0.00352316178826782,0.0229663078847526,0.417393047666426,0.000266143187224715,0.555851339473329
"CbMPDiCbraya","G10024","G23421",0.0204217396761642,0.122835916058731,0.433382894395173,0,0.423359449869932
"CbMPDiCbraya","G10024","G23422",0.0156710723779084,0.159385951330785,0.375076935223332,5.02071043052592e-05,0.449815833963669
"CbMPDiCbraya","G10024","G23426",0,0.137725146958161,0.404631009435905,0.000250125277332113,0.457393718328602
"CbMPDiCbraya","G10024","G23427",0,0.0145989599069845,0.34726665606408,5.02071043052592e-05,0.63808417692463
"CbMPDiCbraya","G10024","G23455",0.0216365948460843,0.0847433234494526,0.310299062818272,0,0.583321018886191
"CbMPDiCbraya","G10024","G23458",0.0204217396761642,0.0644885052753218,0.404756080363399,0,0.510333674685115
